uuid,ordering,Trefwoord,Titel,Beschrijving,Trefwoord (en),Titel (en),Beschrijving (en),Afbeelding,spacer,Afbeelding url,Linked media-uuid,Linked media-name,Linked media-folder,Linked media-filesize,Linked media-mimetype,Record notes-uuid,Record notes-modified_by-uuid,Record notes-modified_by-username,Record notes-modified_by-displayname,Record notes-modified_by-email,Record notes-modified_by-active,Record notes-modified_by-admin,Record notes-modified_time,Record notes-veldnaam,Record notes-notes
7cc6deb8-3e98-1f09-0dce-e67f36e1f3c4,,hond,Hond,Foto's waarin één hond of meerdere honden centraal staan,dog,Dog,,NL-HlmNHA_1478_09898_01B_G,,https://images.memorix.nl/ranh/thumb/500x500/32887823-c34e-50db-8967-fa162e1f8193.jpg,32887823-c34e-50db-8967-fa162e1f8193,NL-HlmNHA_1478_09898_01B_G,196a5255-5e4a-af19-0da3-9c3b53f63597,90675,image/jp2,,,,,,,,,,
7dbc6a7e-4258-2434-bc3d-567164764912,,buiten_zwembad,Buiten zwembad,Foto's van een buitenzwembad. Heeft mogelijk overeenkomsten met het label 'binnen_zwembad',outdoor_swimming_pool,Outdoor swimming pool,,NL-HlmNHA_1478_10253_G,,https://images.memorix.nl/ranh/thumb/500x500/66a16b3b-8c4b-d401-83fd-0d70a4d808d0.jpg,66a16b3b-8c4b-d401-83fd-0d70a4d808d0,NL-HlmNHA_1478_10253_G,57d0a7cc-4774-aa48-eacf-4d1da0983363,90491,image/jp2,,,,,,,,,,
7e4878ac-2e24-1ea0-2772-47302843ec4c,,kerstmis,Kerstmis,Foto's met een duidelijke kerstsfeer / kerstboom / kerstman / kerstversieringen,christmas,Christmas,pictures taken in a christmas setting,NL-HlmNHA_1478_00530K00_24,,https://images.memorix.nl/ranh/thumb/500x500/64e784e0-c500-2f65-0eaf-cc77d247a140.jpg,64e784e0-c500-2f65-0eaf-cc77d247a140,NL-HlmNHA_1478_00530K00_24,26feec77-581e-3b20-1899-4bce0917c33b,107596,image/jp2,,,,,,,,,,
7ef0d313-4b9e-6c15-fb3c-95790a3d65b4,,tennis,Tennis,Foto's van mensen die aan het tennissen zijn,tennis,Tennis,Pictures of people playing tennis,NL-HlmNHA_1478_28740K00_24,,https://images.memorix.nl/ranh/thumb/500x500/104917c3-de8e-b514-b56c-b54b8bc3f024.jpg,104917c3-de8e-b514-b56c-b54b8bc3f024,NL-HlmNHA_1478_28740K00_24,2d0636e6-b63e-bbea-bdb6-b7c7eb47d6bd,100275,image/jp2,,,,,,,,,,
834c6f5f-6887-8d4e-9a7b-42385d64cf96,,konijn,Konijn,Foto's waarin een konijn of meerdere konijnen centraal staan,rabbit,Rabbit,,NL-HlmNHA_1478_07641_G,,https://images.memorix.nl/ranh/thumb/500x500/8705cfe2-3e3f-2fe8-a41e-a2542d3bd847.jpg,8705cfe2-3e3f-2fe8-a41e-a2542d3bd847,NL-HlmNHA_1478_07641_G,cce25bf3-9514-2766-7374-4cafa3a271c3,91639,image/jp2,,,,,,,,,,
84300011-c25a-abf9-05fe-9ac5b3ebcd59,,trein_station,Trein station,"Foto's van een treinstationsgebouw, perrons en aankomende of vertrekkende treinen / treinstationelementen zoals een vertrektijdenbord. Mogelijk overeenkomsten met het label 'trein'",train_station,Train station,"Pictures of train stations, trains at stations etc..",NL-HlmNHA_1478_08998_G.jpg,,https://images.memorix.nl/ranh/thumb/500x500/99a216d1-2cff-bc3c-6d4e-757563bd2384.jpg,99a216d1-2cff-bc3c-6d4e-757563bd2384,NL-HlmNHA_1478_08998_G,8e0f29e8-44fb-e178-1c85-5c7c29ad4d76,90492,image/jp2,,,,,,,,,,
87757ebc-289d-32e3-6749-cfc41f17ca64,,mensenmassa,Mensenmassa,Grote groep mensen die niet poseren voor de foto,crowd,Crowd,large group of people (not posing),NL-HlmNHA_1478_2589.jpg,,https://images.memorix.nl/ranh/thumb/500x500/f23a5a20-eaee-532c-51ca-ed88073fa383.jpg,f23a5a20-eaee-532c-51ca-ed88073fa383,NL-HlmNHA_1478_2589,5e53423a-da5d-d00a-9416-a6258b45be05,35665,image/jp2,,,,,,,,,,
895057d1-f028-e1e2-d723-583498ff62e0,,windmolen,Windmolen,Foto's waarin één molen of meerdere molens centraal staan,wind_mill,Wind mill,Pictures that contain a windmill,NL-HlmNHA_1478_6018.jpg,,https://images.memorix.nl/ranh/thumb/500x500/37af4bc2-3ca4-80d3-0d2a-ff1c8d2dcef6.jpg,37af4bc2-3ca4-80d3-0d2a-ff1c8d2dcef6,NL-HlmNHA_1478_6018,8229109e-8fe7-4822-75ca-c1be26c22f8a,74423,image/jp2,,,,,,,,,,
89d20b42-21b2-b79f-b494-53e0de5d176d,,bruiloft,Bruiloft,Huwelijksfeest en/of -ceremonie / bruidspaar / bruidskinderen / bruidstaart,wedding,Wedding,"Depicting a marriage couple, marriage ceremony",NL-HlmNHA_1478_09181_02_G.jpg,,https://images.memorix.nl/ranh/thumb/500x500/9dc19d8c-b54f-8ab2-982a-383cbcb32fd0.jpg,9dc19d8c-b54f-8ab2-982a-383cbcb32fd0,NL-HlmNHA_1478_09181_02_G,72476bae-97e4-07f1-4a96-f8046f67f01c,91128,image/jp2,,,,,,,,,,
8baa6a68-94d5-862f-803f-fda90117a4d5,,klaslokaal,Klaslokaal,"Studenten, leerlingen, scholieren, leerkrachten en/of docenten in een klaslokaal / leeg klaslokaal",classroom,Classroom,Students inside a classroom,NL-HlmNHA_1478_4827.jpg,,https://images.memorix.nl/ranh/thumb/500x500/ad08feec-7123-dcfb-701e-e9d0ae4774eb.jpg,ad08feec-7123-dcfb-701e-e9d0ae4774eb,NL-HlmNHA_1478_4827,75e079c0-1922-d0f9-5ef8-f5785b1118d9,39418,image/jp2,,,,,,,,,,
8e826567-c7db-d67c-61c8-23917f87030b,,toren,Toren,Foto's waarin een toren of meerdere torens centraal staan,tower,Tower,Pictures of towers,NL-HlmNHA_1478_4477.jpg,,https://images.memorix.nl/ranh/thumb/500x500/6abc1245-8a0c-ffa2-283f-2fafafa196ad.jpg,6abc1245-8a0c-ffa2-283f-2fafafa196ad,NL-HlmNHA_1478_4477,d4902f87-937c-4cdf-3256-01f21435fd1d,38980,image/jp2,,,,,,,,,,
8f25f9f8-5af1-14d9-7600-48bac38a447f,,zwaa,Zwaa,,,,,,,,,,,,,,,,,,,,,,
